Crank angle,V,p,T,m
259.59999999999263,0.0005767807703812569,184332.2375865889,358.6206891750494,0.001032674951982818
259.69999999999266,0.0005761463141840562,184615.51709005688,358.7767256718759,0.001032674951982818
259.7999999999926,0.0005755112776774788,184899.80114479258,358.9331378432654,0.001032674951982818
259.8999999999926,0.0005748756623995079,185185.09388900676,359.0899265495827,0.001032674951982818
259.9999999999926,0.0005742394698935308,185471.39948180577,359.24709265366846,0.001032674951982818
260.09999999999263,0.0005736027017083374,185758.72210332652,359.4046370208736,0.001032674951982818
260.1999999999926,0.0005729653593981253,186047.06595483032,359.562560519016,0.001032674951982818
260.29999999999256,0.000572327444522499,186336.43525885273,359.72086401843984,0.001032674951982818
260.3999999999926,0.0005716889586464716,186626.8342593111,359.8795483919948,0.001032674951982818
260.4999999999926,0.0005710499033404687,186918.2672216262,360.03861451504105,0.001032674951982818
260.5999999999926,0.0005704102801803281,187210.73843285735,360.1980632654765,0.001032674951982818
260.69999999999254,0.0005697700907473006,187504.25220182806,360.3578955237455,0.001032674951982818
260.79999999999256,0.0005691293366280523,187798.8128592403,360.51811217282443,0.001032674951982818
260.8999999999926,0.0005684880194146674,188094.42475779925,360.6787140982261,0.001032674951982818
260.99999999999255,0.000567846140704647,188391.09227236544,360.839702188054,0.001032674951982818
261.0999999999925,0.0005672037021009107,188688.81980006522,361.00107733297483,0.001032674951982818
261.19999999999254,0.0005665607052117976,188987.61176041653,361.16284042622067,0.001032674951982818
261.29999999999256,0.0005659171516510697,189287.47259546886,361.32499236361605,0.001032674951982818
261.39999999999253,0.0005652730430379094,189588.40676993225,361.48753404358087,0.001032674951982818
261.4999999999925,0.0005646283809969219,189890.41877130387,361.6504663671286,0.001032674951982818
261.5999999999925,0.0005639831671581362,190193.5131100077,361.81379023788793,0.001032674951982818
261.69999999999254,0.0005633374031570044,190497.6943195341,361.9775065621211,0.001032674951982818
261.7999999999925,0.0005626910906344044,190802.96695655302,362.14161624869314,0.001032674951982818
261.8999999999925,0.0005620442312366395,191109.33560107803,362.3061202091329,0.001032674951982818
261.9999999999925,0.0005613968266154363,191416.80485657748,362.47101935759326,0.001032674951982818
262.0999999999925,0.0005607488784279506,191725.379350129,362.63631461089443,0.001032674951982818
262.1999999999925,0.0005601003883367618,192035.06373254128,362.80200688849783,0.001032674951982818
262.29999999999245,0.0005594513580098775,192345.8626785105,362.96809711255025,0.001032674951982818
262.3999999999925,0.00055880178912073,192657.78088675332,363.13458620787674,0.001032674951982818
262.4999999999925,0.0005581516833481799,192970.82308015542,363.3014751020056,0.001032674951982818
262.59999999999246,0.0005575010423765139,193284.99400588992,363.4687647251309,0.001032674951982818
262.69999999999243,0.0005568498678954449,193600.29843558482,363.6364560101677,0.001032674951982818
262.79999999999245,0.0005561981616001108,193916.74116546032,363.80454989274835,0.001032674951982818
262.8999999999925,0.0005555459251910778,194234.32701647247,363.97304731123046,0.001032674951982818
262.99999999999244,0.0005548931603743367,194553.0608344529,364.1419492066929,0.001032674951982818
263.0999999999924,0.000554239868861303,194872.94749026303,364.3112565229587,0.001032674951982818
263.19999999999243,0.0005535860523688163,195193.99187994175,364.4809702066037,0.001032674951982818
263.29999999999245,0.0005529317126191421,195516.19892485504,364.65109120696883,0.001032674951982818
263.3999999999924,0.0005522768513399677,195839.57357183998,364.8216204761562,0.001032674951982818
263.4999999999924,0.000551621470264404,196164.1207933526,364.99255896903435,0.001032674951982818
263.5999999999924,0.0005509655711309828,196489.8455876351,365.16390764327514,0.001032674951982818
263.69999999999243,0.0005503091556836573,196816.75297885537,365.33566745933877,0.001032674951982818
263.7999999999924,0.0005496522256718003,197144.8480172702,365.5078393805005,0.001032674951982818
263.89999999999236,0.0005489947828502036,197474.13577936354,365.68042437282884,0.001032674951982818
263.9999999999924,0.0005483368289790763,197804.6213680152,365.8534234052189,0.001032674951982818
264.0999999999924,0.0005476783658240438,198136.30991266554,366.0268374494159,0.001032674951982818
